gene_feature,p_value
rna_ARHGEF16,4.204106648303894e-6
rna_NCF4,4.204231769748211e-6
rna_TMPRSS6,4.306765555524257e-6
rna_FCHO1,4.31134918361999e-6
rna_NUP62,4.339755753385536e-6
rna_DERL2,4.407471894286126e-6
rna_UBA7,4.429852058230351e-6
rna_PTGES,4.475835677965288e-6
rna_NFKB2,4.495936942900298e-6
rna_PSMC5,4.509126071108714e-6
rna_NOXO1,4.560653983828704e-6
rna_MEG3,4.638034121739856e-6
rna_CXCL5,4.6721936935192225e-6
rna_RELL2,4.801171481225813e-6
rna_TOLLIP,4.841393149862757e-6
rna_LIPA,4.956847233721958e-6
rna_FGF12,5.067814933985174e-6
rna_KLHL5,5.133810815630106e-6
rna_CDC45,5.1658671182465055e-6
rna_CCL8,5.327920220780636e-6
rna_BAG2,5.492110984352273e-6
rna_HERC3,5.6808693869300225e-6
rna_RET,5.687037569871968e-6
rna_ERLIN2,5.695398350497037e-6
rna_CD7,5.730301209195271e-6
rna_CHURC1,5.73941899424898e-6
rna_ZFYVE27,5.792197166453204e-6
rna_CLGN,5.828100089974937e-6
rna_PSMD14,5.903808075179682e-6
rna_EPHA8,6.091905358028509e-6
rna_NKX3-1,6.096928415889566e-6
rna_ADAM12,6.137615601992378e-6
rna_TNFRSF6B,6.165214520509558e-6
rna_GINS1,6.282006429046442e-6
rna_MMP12,6.311432841169353e-6
rna_ALAD,6.330921901406777e-6
rna_FBXO34,6.45230043551217e-6
rna_ZNRF3,6.466109549154115e-6
rna_GPR68,6.514661321006572e-6
rna_EDAR,6.679981041560718e-6
rna_AP3B1,6.848857044565901e-6
rna_BACE2,6.907241650480216e-6
rna_OSM,7.134138652428547e-6
rna_KIF11,7.142798217444853e-6
rna_PGK1,7.191360407491888e-6
rna_CEACAM1,7.347650514772513e-6
rna_FRS3,7.429301615001468e-6
rna_SMARCD2,7.697055403943868e-6
rna_DERL3,7.69894970145542e-6
rna_PSMC4,7.852754672706168e-6
rna_RNF186,7.853716179585043e-6
rna_ALDH18A1,7.880031560521545e-6
rna_LAMB2,8.089697572617622e-6
rna_KLHDC10,8.126335202114288e-6
rna_DISP1,8.205203830100181e-6
rna_LYPD3,8.318440960348657e-6
rna_KLHL8,8.380996160916039e-6
rna_NRG4,8.385141213334818e-6
rna_USH2A,8.503846004392022e-6
rna_STXBP4,8.701292337455974e-6
rna_EDN1,8.921004275681737e-6
rna_TRAF2,8.943391445206623e-6
rna_TRIP4,8.950579860706806e-6
rna_HP,8.964076555976933e-6
rna_TPM4,9.034539903060644e-6
rna_NLRP14,9.201170118350456e-6
rna_SSC5D,9.448600510255768e-6
rna_TF,9.580133617243727e-6
rna_FGF3,9.593671825662643e-6
rna_DCLRE1C,9.94517006737329e-6
rna_DDI2,1.0008470584542027e-5
rna_MYCBP2,1.0018874417517768e-5
rna_COL9A2,1.0101319867481035e-5
rna_FBXL4,1.0285632034416586e-5
rna_MAPK8,1.042647071330066e-5
rna_RANBP2,1.0435750709246229e-5
rna_HLA-E,1.0670102835678618e-5
rna_MEN1,1.0824342050450293e-5
rna_CPM,1.1170112714547875e-5
rna_GALNS,1.1240474026367091e-5
rna_GTF2IRD1,1.1433912070736215e-5
rna_KLF15,1.1476505074000687e-05
rna_DYNC2H1,1.1603280821526122e-5
rna_SGMS2,1.1854388275234913e-5
rna_CCDC40,1.1887848354619879e-5
rna_CXCL13,1.2089093074077165e-5
